Organisation,Location
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
Virgin Galactic,"VMS Eve, Mojave Air and Space Port, California, USA"
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India"
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia"
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia"
CASC,"LC-2, Xichang Satellite Launch Center, China"
Arianespace,"ELS, Guiana Space Centre, French Guiana, France"
CASC,"LC-9, Taiyuan Satellite Launch Center, China"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
ULA,"SLC-3E, Vandenberg SFB, California, USA"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
CASC,"LC-2, Xichang Satellite Launch Center, China"
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia"
Kosmotras,"Site 370/13, Yasny Cosmodrome, Russia"
CASC,"LC-9, Taiyuan Satellite Launch Center, China"
Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India"
CASC,"LC-9, Taiyuan Satellite Launch Center, China"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
SpaceX,"SLC-4E, Vandenberg SFB, California, USA"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
CASIC,"Site 95B, Jiuquan Satellite Launch Center, China"
CASC,"LC-9, Taiyuan Satellite Launch Center, China"
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
JAXA,"Mu Pad, Uchinoura Space Center, Japan"
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia"
Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA"
Virgin Galactic,"VMS Eve, Mojave Air and Space Port, California, USA"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
Land Launch,"Site 45/1, Baikonur Cosmodrome, Kazakhstan"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
ULA,"SLC-6, Vandenberg SFB, California, USA"
Kosmotras,"Site 370/13, Yasny Cosmodrome, Russia"
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA"
MHI,"LA-Y2, Tanegashima Space Center, Japan"
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
CASC,"LC-9, Taiyuan Satellite Launch Center, China"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India"
Northrop,"Stargazer, Vandenberg SFB, California, USA"
VKS RF,"Site 175/59, Baikonur Cosmodrome, Kazakhstan"
Arianespace,"ELS, Guiana Space Centre, French Guiana, France"
VKS RF,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China"
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France"
CASC,"LC-2, Xichang Satellite Launch Center, China"
Virgin Galactic,"VMS Eve, Mojave Air and Space Port, California, USA"
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA"
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India"
ULA,"SLC-3E, Vandenberg SFB, California, USA"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
KARI,"LC-1, Naro Space Center, South Korea"
MHI,"LA-Y1, Tanegashima Space Center, Japan"
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
KCST,"Pad 1, Sohae Satellite Launching Station, North Korea"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean"
Arianespace,"ELS, Guiana Space Centre, French Guiana, France"
CASC,"LC-2, Xichang Satellite Launch Center, China"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
CASC,"LC-9, Taiyuan Satellite Launch Center, China"
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
CASC,"LC-2, Xichang Satellite Launch Center, China"
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
ILS,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
CASC,"LC-9, Taiyuan Satellite Launch Center, China"
Arianespace,"ELS, Guiana Space Centre, French Guiana, France"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
ISA,"Safir Launch Pad, Semnan Space Center, Iran"
CASC,"LC-2, Xichang Satellite Launch Center, China"
Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
ULA,"SLC-3E, Vandenberg SFB, California, USA"
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean"
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia"
CASC,"LC-2, Xichang Satellite Launch Center, China"
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
MHI,"LA-Y2, Tanegashima Space Center, Japan"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
ILS,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China"
Northrop,"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands"
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean"
CASC,"LC-9, Taiyuan Satellite Launch Center, China"
CASC,"LC-2, Xichang Satellite Launch Center, China"
ISA,"Safir Launch Pad, Semnan Space Center, Iran"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
ILS,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
MHI,"LA-Y1, Tanegashima Space Center, Japan"
VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
CASC,"LC-9, Taiyuan Satellite Launch Center, China"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
CASC,"LC-2, Xichang Satellite Launch Center, China"
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
KCST,"Pad 1, Sohae Satellite Launching Station, North Korea"
ULA,"SLC-6, Vandenberg SFB, California, USA"
CASC,"LC-2, Xichang Satellite Launch Center, China"
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
CASC,"LC-2, Xichang Satellite Launch Center, China"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
ESA,"ELV-1, Guiana Space Centre, French Guiana, France"
ISA,"Safir Launch Pad, Semnan Space Center, Iran"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA"
CASC,"LC-3, Xichang Satellite Launch Center, China"
CASC,"LC-9, Taiyuan Satellite Launch Center, China"
Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia"
CASC,"LC-9, Taiyuan Satellite Launch Center, China"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
CASC,"LC-2, Xichang Satellite Launch Center, China"
Arianespace,"ELS, Guiana Space Centre, French Guiana, France"
MHI,"LA-Y1, Tanegashima Space Center, Japan"
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
CASC,"LC-3, Xichang Satellite Launch Center, China"
CASC,"LC-9, Taiyuan Satellite Launch Center, China"
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
CASC,"LC-9, Taiyuan Satellite Launch Center, China"
Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan"
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
ULA,"SLC-2W, Vandenberg SFB, California, USA"
Arianespace,"ELS, Guiana Space Centre, French Guiana, France"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India"
CASC,"LC-2, Xichang Satellite Launch Center, China"
Land Launch,"Site 45/1, Baikonur Cosmodrome, Kazakhstan"
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China"
Northrop,"LP-1, Pacific Spaceport Complex, Kodiak, Alaska, USA"
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean"
MHI,"LA-Y1, Tanegashima Space Center, Japan"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
CASC,"LC-2, Xichang Satellite Launch Center, China"
ULA,"SLC-17B, Cape Canaveral SFS, Florida, USA"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
Kosmotras,"Site 370/13, Yasny Cosmodrome, Russia"
CASC,"LC-9, Taiyuan Satellite Launch Center, China"
CASC,"LC-2, Xichang Satellite Launch Center, China"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
CASC,"LC-3, Xichang Satellite Launch Center, China"
Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan"
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India"
Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
CASC,"LC-2, Xichang Satellite Launch Center, China"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA"
VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
CASC,"LC-2, Xichang Satellite Launch Center, China"
ISA,"Safir Launch Pad, Semnan Space Center, Iran"
ULA,"SLC-2W, Vandenberg SFB, California, USA"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India"
ULA,"SLC-3E, Vandenberg SFB, California, USA"
CASC,"LC-3, Xichang Satellite Launch Center, China"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
Northrop,"SLC-576E, Vandenberg SFB, California, USA"
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
Northrop,"SLC-8, Vandenberg SFB, California, USA"
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
MHI,"LA-Y2, Tanegashima Space Center, Japan"
ULA,"SLC-6, Vandenberg SFB, California, USA"
Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India"
CASC,"LC-3, Xichang Satellite Launch Center, China"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
CASC,"LC-3, Xichang Satellite Launch Center, China"
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA"
Northrop,"LP-1, Pacific Spaceport Complex, Kodiak, Alaska, USA"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
ULA,"SLC-2W, Vandenberg SFB, California, USA"
CASC,"LC-9, Taiyuan Satellite Launch Center, China"
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia"
CASC,"LC-2, Xichang Satellite Launch Center, China"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
ILS,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
CASC,"LC-9, Taiyuan Satellite Launch Center, China"
CASC,"LC-2, Xichang Satellite Launch Center, China"
VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia"
Northrop,"SLC-8, Vandenberg SFB, California, USA"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
ULA,"SLC-3E, Vandenberg SFB, California, USA"
MHI,"LA-Y1, Tanegashima Space Center, Japan"
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia"
CASC,"LC-2, Xichang Satellite Launch Center, China"
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
CASC,"LC-9, Taiyuan Satellite Launch Center, China"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
CASC,"LC-3, Xichang Satellite Launch Center, China"
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
IAI,"Pad 1, Palmachim Airbase, Israel"
Kosmotras,"Site 109/95, Baikonur Cosmodrome, Kazakhstan"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
Kosmotras,"Site 370/13, Yasny Cosmodrome, Russia"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
KARI,"LC-1, Naro Space Center, South Korea"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
CASC,"LC-2, Xichang Satellite Launch Center, China"
Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia"
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
MHI,"LA-Y1, Tanegashima Space Center, Japan"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia"
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India"
Kosmotras,"Site 109/95, Baikonur Cosmodrome, Kazakhstan"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA"
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
CASC,"LC-2, Xichang Satellite Launch Center, China"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
CASC,"LC-9, Taiyuan Satellite Launch Center, China"
ULA,"SLC-2W, Vandenberg SFB, California, USA"
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA"
Land Launch,"Site 45/1, Baikonur Cosmodrome, Kazakhstan"
MHI,"LA-Y1, Tanegashima Space Center, Japan"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
NASA,"LC-39B, Kennedy Space Center, Florida, USA"
ULA,"SLC-3E, Vandenberg SFB, California, USA"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
ULA,"SLC-2W, Vandenberg SFB, California, USA"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
ULA,"SLC-17B, Cape Canaveral SFS, Florida, USA"
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
MHI,"LA-Y2, Tanegashima Space Center, Japan"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
CASC,"LC-2, Xichang Satellite Launch Center, China"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
KARI,"LC-1, Naro Space Center, South Korea"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
ULA,"SLC-17A, Cape Canaveral SFS, Florida, USA"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
Kosmotras,"Site 109/95, Baikonur Cosmodrome, Kazakhstan"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands"
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA"
Land Launch,"Site 45/1, Baikonur Cosmodrome, Kazakhstan"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia"
Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
ULA,"SLC-2W, Vandenberg SFB, California, USA"
VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia"
CASC,"LC-7, Taiyuan Satellite Launch Center, China"
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean"
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India"
CASC,"LC-2, Xichang Satellite Launch Center, China"
KCST,"Pad 1, Tonghae Satellite Launching Ground, North Korea"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
ULA,"SLC-17A, Cape Canaveral SFS, Florida, USA"
Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
ULA,"SLC-17B, Cape Canaveral SFS, Florida, USA"
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
Land Launch,"Site 45/1, Baikonur Cosmodrome, Kazakhstan"
Northrop,"SLC-576E, Vandenberg SFB, California, USA"
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France"
Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
